,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
,アウト,ベント,Blue,2014.06.30,イン,ベント,Blue,2014.06.30,72,6532,70.9,126
,アウト,ベント,White,2014.06.30,イン,ベント,White,2014.06.30,72,6158,69.0,124
,アウト,ベント,Red1,2014.06.30,イン,ベント,Red1,2014.06.30,72,5332,65.2,112
,アウト,ベント,Red2,2014.06.30,イン,ベント,Red2,2014.06.30,72,5151,64.3,110
かずさカントリークラブ,さくら,Aグリーン,バック,2020.08.20,富士,Aグリーン,バック,2020.08.20,72,6677,72.1,138
,さくら,Aグリーン,レギュラー,2020.08.20,富士,Aグリーン,レギュラー,2020.08.20,72,6214,69.9,134
,さくら,Aグリーン,フロント,2020.08.20,富士,Aグリーン,フロント,2020.08.20,72,5920,68.5,130
,さくら,Aグリーン,レディース,2020.08.20,富士,Aグリーン,レディース,2020.08.20,72,5462,66.3,124
,さくら,Bグリーン,バック,2020.08.20,富士,Bグリーン,バック,2020.08.20,72,6417,70.8,133
,さくら,Bグリーン,レギュラー,2020.08.20,富士,Bグリーン,レギュラー,2020.08.20,72,5954,68.6,129
,さくら,Bグリーン,フロント,2020.08.20,富士,Bグリーン,フロント,2020.08.20,72,5660,67.2,126
,さくら,Bグリーン,レディース,2020.08.20,富士,Bグリーン,レディース,2020.08.20,72,5202,65.0,120
,富士,Aグリーン,バック,2020.08.20,つばめ,Aグリーン,バック,2020.08.20,72,6737,72.3,135
,富士,Aグリーン,レギュラー,2020.08.20,つばめ,Aグリーン,レギュラー,2020.08.20,72,6367,70.6,132
,富士,Aグリーン,フロント,2020.08.20,つばめ,Aグリーン,フロント,2020.08.20,72,6054,69.2,128
,富士,Aグリーン,レディース,2020.08.20,つばめ,Aグリーン,レディース,2020.08.20,72,5610,66.9,124
,富士,Bグリーン,バック,2020.08.20,つばめ,Bグリーン,バック,2020.08.20,72,6484,70.9,130
,富士,Bグリーン,レギュラー,2020.08.20,つばめ,Bグリーン,レギュラー,2020.08.20,72,6114,69.0,127
,富士,Bグリーン,フロント,2020.08.20,つばめ,Bグリーン,フロント,2020.08.20,72,5801,67.6,124
,富士,Bグリーン,レディース,2020.08.20,つばめ,Bグリーン,レディース,2020.08.20,72,5357,65.5,120
,つばめ,Aグリーン,バック,2020.08.20,さくら,Aグリーン,バック,2020.08.20,72,6706,72.2,134
,つばめ,Aグリーン,レギュラー,2020.08.20,さくら,Aグリーン,レギュラー,2020.08.20,72,6257,70.1,129
,つばめ,Aグリーン,フロント,2020.08.20,さくら,Aグリーン,フロント,2020.08.20,72,5976,68.9,125
,つばめ,Aグリーン,レディース,2020.08.20,さくら,Aグリーン,レディース,2020.08.20,72,5430,66.2,119
,つばめ,Bグリーン,バック,2020.08.20,さくら,Bグリーン,バック,2020.08.20,72,6473,71.3,128
,つばめ,Bグリーン,レギュラー,2020.08.20,さくら,Bグリーン,レギュラー,2020.08.20,72,6024,69.2,125
,つばめ,Bグリーン,フロント,2020.08.20,さくら,Bグリーン,フロント,2020.08.20,72,5743,67.8,121
,つばめ,Bグリーン,レディース,2020.08.20,さくら,Bグリーン,レディース,2020.08.20,72,5197,65.1,116
上総富士ゴルフクラブ,東,Lグリーン,バック,2020.09.02,西,Lグリーン,バック,2020.09.02,72,6456,70.4,125
,東,Lグリーン,レギュラー,2020.09.02,西,Lグリーン,レギュラー,2020.09.02,72,6086,68.7,122
,東,Lグリーン,フロント,2020.09.02,西,Lグリーン,フロント,2020.09.02,72,5550,66.3,115
,東,Lグリーン,レディース,2020.09.02,西,Lグリーン,レディース,2020.09.02,72,4936,63.5,106
,東,Rグリーン,バック,2020.09.02,西,Rグリーン,バック,2020.09.02,72,6487,70.4,124
,東,Rグリーン,レギュラー,2020.09.02,西,Rグリーン,レギュラー,2020.09.02,72,6117,68.7,120
,東,Rグリーン,フロント,2020.09.02,西,Rグリーン,フロント,2020.09.02,72,5581,66.3,114
,東,Rグリーン,レディース,2020.09.02,西,Rグリーン,レディース,2020.09.02,72,4967,63.5,105
,西,Lグリーン,バック,2020.09.02,南,Lグリーン,バック,2020.09.02,72,6581,71.1,123
,西,Lグリーン,レギュラー,2020.09.02,南,Lグリーン,レギュラー,2020.09.02,72,6195,69.3,119
,西,Lグリーン,フロント,2020.09.02,南,Lグリーン,フロント,2020.09.02,72,5682,67.0,114
,西,Lグリーン,レディース,2020.09.02,南,Lグリーン,レディース,2020.09.02,72,5080,64.2,106
,西,Rグリーン,バック,2020.09.02,南,Rグリーン,バック,2020.09.02,72,6571,71.0,124
,西,Rグリーン,レギュラー,2020.09.02,南,Rグリーン,レギュラー,2020.09.02,72,6185,69.2,118
