,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
,Yellow - Women,F,73,75.1,107.2,136,37.7  /  132,37.4  /  140
,Red - 2018,F,73,72.9,104.2,133,36.4  /  129,36.5  /  137
,Blue - Women,F,67,68.1,96.3,120,33.7  /  115,34.4  /  124
Thurlestone Golf Club (1017386) - Thurlestone Golf Club,White,M,71,71.0,95.1,130,33.3  /  113,37.7  /  146
,Yellow,M,71,70.4,94.1,128,32.9  /  113,37.5  /  142
,Bronze,M,71,68.8,91.7,124,32.4  /  112,36.4  /  135
,Red,F,73,72.3,101.8,125,34.2  /  116,38.1  /  134
,Women - Alternate Red,F,68,67.7,94.7,114,33.9  /  114,33.8  /  114
Tiverton Golf Club (1017449) - Tiverton,White,M,70,69.9,92.2,120,35.3  /  126,34.6  /  114
,Braid White,M,70,69.9,92.1,120,35.9  /  125,34.0  /  114
,Yellow,M,70,68.5,89.9,116,34.6  /  122,33.9  /  109
,Red 2019,F,73,73.1,102.0,123,36.7  /  123,36.4  /  122
,Braid Red,F,73,73.0,102.0,123,37.4  /  126,35.6  /  120
Torquay Golf Club (1017496) - Torquay,White,M,68,68.4,90.3,118,34.9  /  116,33.5  /  119
,Yellow,M,68,67.1,88.3,114,34.3  /  114,32.8  /  114
,Red,F,71,70.7,99.4,122,36.2  /  124,34.5  /  120
Warren Golf Club Dawlish (1018119) - Warren,White,M,69,69.7,92.5,123,33.7  /  117,36.0  /  128
,White (Short),M,69,69.6,92.4,123,33.7  /  117,35.9  /  128
,Yellow,M,68,67.9,89.0,114,33.2  /  107,34.7  /  121
,Red 2019,F,73,71.7,100.9,124,34.4  /  123,37.3  /  125
,Red (Short),F,72,71.3,100.1,123,34.0  /  120,37.3  /  125
Welbeck Manor Golf Course (1015799) - Sparkwell,White,M,68,67.5,88.8,115,33.8  /  114,33.7  /  115
,Yellow,M,68,66.4,87.4,113,33.2  /  112,33.2  /  114
,Red,F,70,70.8,98.8,119,35.4  /  120,35.4  /  118
Woodbury Park Hotel Golf and Country Club (1019468) - Acorns,White/Blue,M,65,62.5,82.4,108,31.3  /  108,31.2  /  107
,Red/Yellow,M,65,60.2,77.1,91,30.6  /  93,29.6  /  89
,White/Blue,F,66,66.8,94.1,116,33.4  /  113,33.4  /  119
,Red/Yellow,F,65,61.3,85.1,101,31.3  /  108,30.0  /  94
Woodbury Park Hotel Golf and Country Club (1019468) - Oaks,Black,M,73,76.1,101.8,138,38.1  /  147,38.0  /  129
,Gold,M,73,74.0,99.1,135,37.5  /  143,36.5  /  127
,White,M,72,72.6,97.1,132,36.8  /  135,35.8  /  129
,Yellow,M,72,71.1,95.0,129,35.9  /  133,35.2  /  124
,Red,M,72,68.5,90.7,120,34.4  /  121,34.1  /  118
,Silver,M,72,65.9,87.1,114,32.9  /  118,33.0  /  110
,Yellow,F,74,77.1,110.5,142,38.8  /  145,38.3  /  138
,Red,F,73,73.3,105.4,136,36.9  /  137,36.4  /  135
,Silver,F,74,70.6,100.3,126,35.6  /  125,35.0  /  127
Wrangaton Golf Club (1019755) - Wrangaton,White,M,70,69.6,93.2,127,35.5  /  127,34.1  /  127
,Yellow,M,70,67.7,90.4,123,34.5  /  124,33.2  /  121
,Red - Men,M,66,65.9,86.6,112,33.4  /  113,32.5  /  110
,Red - 2018,F,70,70.9,99.4,121,36.1  /  120,34.8  /  121
Yelverton Golf Club (1019842) - Yelverton,White,M,71,71.9,96.5,133,35.5  /  125,36.4  /  140
,Yellow,M,70,70.8,94.5,128,35.4  /  122,35.4  /  133
,Red,M,68,68.0,90.6,122,34.2  /  112,33.8  /  131
,White,F,76,77.5,111.5,144,38.1  /  142,39.4  /  146
,Yellow,F,76,76.0,109.1,140,37.8  /  142,38.2  /  138
,Red,F,73,73.4,103.7,129,36.6  /  129,36.8  /  128
